From*, To*, Rate, 
1, 12, 0.00727272727272727, 
2, 3, 0.363636363636364, 
2, 11, 0.363636363636364, 
2, 12, 0.0909090909090909, 
3, 13, 0.2, 
9, 11, 0.05, 
9, 12, 0.2, 
9, 13, 0.35, 
9, 27, 0.025, 
11, 13, 0.0909090909090909, 
12, 9, 0.0119225037257824, 
12, 11, 0.0238450074515648, 
12, 13, 0.169895678092399, 
12, 21, 0.0014903129657228, 
12, 27, 0.0119225037257824, 
13, 9, 0.0183299389002037, 
13, 12, 0.138492871690428, 
13, 21, 0.00407331975560081, 
13, 27, 0.0162932790224033, 
19, 9, 0.25, 
19, 11, 0.25, 
19, 12, 0.125, 
19, 13, 0.375, 
23, 11, 0.2, 
23, 13, 0.8, 
