From*, To*, Rate, 
4, 5, 0.67741935483871, 
4, 9, 0.032258064516129, 
4, 12, 0.032258064516129, 
4, 13, 0.258064516129032, 
5, 9, 0.01, 
5, 12, 0.16, 
5, 13, 0.135, 
9, 12, 0.48, 
9, 13, 0.12, 
9, 16, 0.2, 
10, 13, 0.6, 
11, 8, 0.0227272727272727, 
11, 9, 0.0113636363636364, 
11, 10, 0.0340909090909091, 
11, 12, 0.363636363636364, 
11, 13, 0.534090909090909, 
11, 16, 0.0227272727272727, 
11, 21, 0.0113636363636364, 
12, 8, 0.0157894736842105, 
12, 10, 0.0368421052631579, 
12, 13, 0.310526315789474, 
12, 23, 0.00526315789473684, 
13, 8, 0.0091533180778032, 
13, 10, 0.0183066361556064, 
13, 12, 0.226544622425629, 
13, 16, 0.0068649885583524, 
16, 8, 0.0689655172413793, 
16, 9, 0.0344827586206897, 
16, 10, 0.0689655172413793, 
16, 13, 0.344827586206897, 
19, 8, 0.5, 
20, 8, 0.0434782608695652, 
20, 9, 0.0869565217391304, 
20, 12, 0.608695652173913, 
20, 13, 0.173913043478261, 
20, 16, 0.0434782608695652, 
20, 21, 0.0434782608695652, 
21, 9, 0.0289855072463768, 
21, 12, 0.492753623188406, 
21, 13, 0.420289855072464, 
21, 23, 0.0289855072463768, 
21, 27, 0.0289855072463768, 
22, 8, 0.0140845070422535, 
22, 9, 0.0985915492957746, 
22, 12, 0.408450704225352, 
22, 13, 0.464788732394366, 
22, 16, 0.0140845070422535, 
23, 8, 0.127272727272727, 
23, 9, 0.0727272727272727, 
23, 10, 0.0181818181818182, 
23, 12, 0.509090909090909, 
23, 13, 0.254545454545455, 
