From*, To*, Rate, 
9, 13, 1, 
10, 13, 0.222222222222222, 
11, 10, 0.714285714285714, 
11, 13, 0.238095238095238, 
11, 23, 0.0476190476190476, 
12, 10, 0.181818181818182, 
12, 13, 0.606060606060606, 
13, 10, 0.204918032786885, 
13, 12, 0.00819672131147541, 
13, 23, 0.0163934426229508, 
16, 12, 0.285714285714286, 
16, 13, 0.714285714285714, 
17, 13, 1, 
20, 13, 1, 
21, 10, 0.285714285714286, 
21, 13, 0.357142857142857, 
21, 16, 0.357142857142857, 
23, 13, 0.916666666666667, 
27, 13, 0.935483870967742, 
27, 21, 0.0645161290322581, 
