From*, To*, Rate, 
1, 2, 0.105560235888795, 
1, 3, 0.0574557708508846, 
1, 8, 0.00073013198539736, 
1, 9, 0.00221847795563044, 
1, 10, 0.00050547598989048, 
1, 11, 0.0362257792754844, 
1, 12, 0.0171861836562763, 
1, 13, 0.0251333894973322, 
1, 14, 0.00047739399045212, 
1, 19, 0.00409997191800056, 
1, 20, 0.0011232799775344, 
1, 21, 5.616399887672e-05, 
1, 23, 0.0029486099410278, 
1, 24, 0.0009828699803426, 
2, 3, 0.107097162640175, 
2, 8, 0.0626627530669075, 
2, 9, 0.0231052908858283, 
2, 10, 0.00153533529013321, 
2, 11, 0.0407164898020622, 
2, 12, 0.160848950101603, 
2, 13, 0.151907879882592, 
2, 14, 0.000105366147362083, 
2, 16, 9.03138405960713e-05, 
2, 19, 0.00287499059230827, 
2, 20, 0.0111086023933168, 
2, 21, 0.0373598253932415, 
2, 23, 0.046842778655829, 
2, 24, 0.00758636261006999, 
2, 27, 0.00293519981937232, 
3, 2, 0.0349613023752335, 
3, 8, 0.0404132830073583, 
3, 9, 0.00793015364672691, 
3, 10, 0.00133440085401655, 
3, 11, 0.0192916237752106, 
3, 12, 0.0874604445461131, 
3, 13, 0.0926074192687483, 
3, 14, 0.000953143467154676, 
3, 19, 0.000991269205840863, 
3, 20, 0.00610011818978993, 
3, 21, 0.0224560600861642, 
3, 23, 0.0209691562774029, 
3, 24, 0.00308818483358115, 
3, 27, 0.00125814937664417, 
5, 8, 0.100945247012663, 
5, 9, 0.00107009095773141, 
5, 10, 0.00285357588728375, 
5, 11, 0.000891742464776173, 
5, 12, 0.00428036383092563, 
5, 13, 0.00873907615480649, 
5, 20, 0.000178348492955235, 
5, 21, 0.0046370608168361, 
5, 23, 0.0108792580702693, 
5, 24, 0.000713393971820938, 
9, 8, 0.0284278037788178, 
9, 10, 0.000173340266944011, 
9, 11, 0.0596290518287398, 
9, 12, 0.268157392962385, 
9, 13, 0.353094123764951, 
9, 14, 0.00104004160166407, 
9, 19, 0.000173340266944011, 
9, 20, 0.0121338186860808, 
9, 21, 0.0367481365921304, 
9, 23, 0.0533888022187554, 
9, 24, 0.0093603744149766, 
9, 27, 0.00104004160166407, 
10, 8, 0.485714285714286, 
10, 9, 0.0272727272727273, 
10, 11, 0.0038961038961039, 
10, 12, 0.0155844155844156, 
10, 13, 0.206493506493507, 
10, 21, 0.0545454545454545, 
10, 23, 0.102597402597403, 
11, 8, 0.0397573535829624, 
11, 9, 0.0178057083006023, 
11, 10, 0.000480055861045649, 
11, 12, 0.426376887492363, 
11, 13, 0.210308108579907, 
11, 14, 0.000349131535305927, 
11, 19, 0.00322946670157982, 
11, 20, 0.0142707515056297, 
11, 21, 0.0462599284280353, 
11, 22, 0.000196386488609584, 
11, 23, 0.0588286636990486, 
11, 24, 0.00589159465828751, 
11, 27, 0.00133106397835384, 
12, 8, 0.0928084611228858, 
12, 9, 0.00302331380127166, 
12, 10, 0.00125711673523667, 
12, 11, 0.0451834767069775, 
12, 13, 0.15313967501974, 
12, 14, 0.000301292440676557, 
12, 16, 1.03893945060882e-05, 
12, 19, 0.00109088642313926, 
12, 20, 0.00538170635415368, 
12, 21, 0.000488301541786145, 
12, 22, 0.00034285001870091, 
12, 23, 0.00117400157918796, 
12, 27, 0.00327265926941778, 
13, 8, 0.0945140493857195, 
13, 9, 0.0039465325926827, 
13, 10, 0.0046358242441444, 
13, 11, 0.00174350241252078, 
13, 12, 0.0860533322520915, 
13, 14, 0.000108124180621444, 
13, 16, 0.000216248361242887, 
13, 19, 0.00058116747084026, 
13, 20, 0.0029734149670897, 
13, 21, 0.00155428509643325, 
13, 22, 6.75776128884023e-05, 
13, 23, 0.00424387408939167, 
13, 27, 0.00108124180621444, 
14, 9, 0.00836820083682008, 
14, 11, 0.416317991631799, 
14, 12, 0.187587168758717, 
14, 13, 0.236401673640167, 
14, 19, 0.00278940027894003, 
14, 21, 0.00139470013947001, 
16, 8, 0.524752475247525, 
16, 9, 0.00495049504950495, 
16, 10, 0.0445544554455446, 
16, 11, 0.108910891089109, 
16, 13, 0.202970297029703, 
16, 19, 0.0346534653465347, 
16, 21, 0.0198019801980198, 
16, 23, 0.0495049504950495, 
17, 8, 0.745454545454545, 
17, 13, 0.0727272727272727, 
17, 21, 0.145454545454545, 
17, 23, 0.0363636363636364, 
19, 8, 0.230969986950848, 
19, 9, 0.0339277946933449, 
19, 10, 0.00304480208786429, 
19, 11, 0.13179643323184, 
19, 12, 0.153979991300565, 
19, 13, 0.247498912570683, 
19, 20, 0.00217485863418878, 
19, 21, 0.0200086994345368, 
19, 23, 0.0578512396694215, 
19, 24, 0.00652457590256633, 
19, 27, 0.00260983036102653, 
20, 8, 0.431289640591966, 
20, 9, 0.0340909090909091, 
20, 11, 0.0240486257928118, 
20, 12, 0.161205073995772, 
20, 13, 0.10438689217759, 
20, 19, 0.00211416490486258, 
20, 21, 0.0232558139534884, 
20, 23, 0.12130021141649, 
20, 27, 0.00132135306553911, 
21, 8, 0.245528455284553, 
21, 9, 0.040534262485482, 
21, 10, 0.00429732868757259, 
21, 11, 0.0282229965156794, 
21, 12, 0.172822299651568, 
21, 13, 0.182229965156794, 
21, 14, 0.000116144018583043, 
21, 16, 0.000116144018583043, 
21, 19, 0.00150987224157956, 
21, 20, 0.00685249709639954, 
21, 22, 0.00116144018583043, 
21, 23, 0.110220673635308, 
21, 27, 0.00603948896631823, 
22, 8, 0.490503533568905, 
22, 9, 0.0141342756183746, 
22, 10, 0.0163427561837456, 
22, 11, 0.0134717314487633, 
22, 12, 0.100044169611307, 
22, 13, 0.139796819787986, 
22, 19, 0.000220848056537102, 
22, 20, 0.00198763250883392, 
22, 21, 0.0247349823321555, 
22, 23, 0.193683745583039, 
22, 27, 0.00265017667844523, 
23, 8, 0.279306284123755, 
23, 9, 0.0476394390322235, 
23, 10, 0.00342575741355315, 
23, 11, 0.0131677550583449, 
23, 12, 0.114655818434857, 
23, 13, 0.157798950861792, 
23, 14, 0.000107054919173536, 
23, 16, 0.000107054919173536, 
23, 19, 0.00139171394925597, 
23, 20, 0.00428219676694144, 
23, 21, 0.0337222995396638, 
23, 22, 0.000214109838347072, 
23, 27, 0.00931377796809763, 
25, 12, 0.666666666666667, 
25, 13, 0.333333333333333, 
27, 2, 0.00334448160535117, 
27, 3, 0.0135587092108831, 
27, 8, 0.0443821748169574, 
27, 9, 0.00235017626321974, 
27, 10, 0.000180782789478442, 
27, 11, 0.0273885926059839, 
27, 12, 0.471391123565037, 
27, 13, 0.144535840188014, 
27, 14, 9.03913947392208e-05, 
27, 19, 0.00244056765795896, 
27, 20, 0.0247672421585465, 
27, 21, 0.118955075476815, 
