From*, To*, Rate, 
2, 9, 0.111111111111111, 
2, 12, 0.222222222222222, 
2, 13, 0.333333333333333, 
2, 16, 0.111111111111111, 
2, 17, 0.0555555555555556, 
2, 21, 0.0555555555555556, 
2, 23, 0.111111111111111, 
3, 9, 0.0666666666666667, 
3, 13, 0.266666666666667, 
3, 16, 0.5, 
3, 17, 0.166666666666667, 
4, 5, 0.268292682926829, 
4, 9, 0.024390243902439, 
4, 13, 0.0731707317073171, 
4, 16, 0.268292682926829, 
4, 17, 0.0487804878048781, 
4, 19, 0.024390243902439, 
4, 21, 0.268292682926829, 
4, 23, 0.024390243902439, 
5, 9, 0.0154577883472057, 
5, 12, 0.0261593341260404, 
5, 13, 0.105826397146254, 
5, 16, 0.0760998810939358, 
5, 17, 0.101070154577883, 
5, 19, 0.00475624256837099, 
5, 20, 0.00713436385255648, 
5, 21, 0.0261593341260404, 
5, 23, 0.00356718192627824, 
6, 7, 0.0344827586206897, 
6, 13, 0.206896551724138, 
6, 16, 0.379310344827586, 
6, 17, 0.206896551724138, 
7, 9, 0.00412654745529574, 
7, 12, 0.0378266850068776, 
7, 13, 0.0350756533700138, 
7, 16, 0.0350756533700138, 
7, 17, 0.0811554332874828, 
7, 19, 0.00137551581843191, 
7, 20, 0.00756533700137552, 
7, 23, 0.00825309491059147, 
9, 8, 0.00406654343807763, 
9, 10, 0.0077634011090573, 
9, 11, 0.0011090573012939, 
9, 12, 0.0129390018484288, 
9, 13, 0.0831792975970425, 
9, 16, 0.210720887245841, 
9, 17, 0.111275415896488, 
9, 19, 0.00739371534195933, 
9, 20, 0.00147874306839187, 
9, 21, 0.00850277264325323, 
9, 23, 0.00517560073937153, 
9, 24, 0.00295748613678373, 
10, 9, 0.077319587628866, 
10, 13, 0.412371134020619, 
10, 16, 0.298969072164948, 
10, 23, 0.0206185567010309, 
11, 8, 0.000199640646835696, 
11, 9, 0.100818526652026, 
11, 10, 0.00499101617089239, 
11, 12, 0.0339389099620683, 
11, 13, 0.21940507087243, 
11, 16, 0.316130964264324, 
11, 17, 0.286384507885806, 
11, 19, 0.00509083649431024, 
11, 20, 0.00349371131962468, 
11, 21, 0.00359353164304252, 
11, 23, 0.00778598522659213, 
11, 24, 0.00289478937911759, 
11, 27, 0.000598921940507087, 
12, 8, 0.000195477943572034, 
12, 9, 0.000325796572620056, 
12, 10, 0.00247605395191243, 
12, 11, 0.00110770834690819, 
12, 13, 0.153385026389522, 
12, 16, 0.0846419495666906, 
12, 17, 0.0632045350882909, 
12, 19, 0.000586433830716101, 
12, 20, 0.000781911774288135, 
12, 21, 0.000390955887144067, 
12, 23, 0.000195477943572034, 
12, 27, 0.00827523294454942, 
13, 8, 0.000823316318129425, 
13, 9, 0.000246994895438828, 
13, 10, 0.00334815302705966, 
13, 11, 0.000137219386354904, 
13, 12, 0.0285416323618201, 
13, 16, 0.15192930457215, 
13, 17, 0.104286733629727, 
13, 19, 0.00348537241341457, 
13, 20, 0.00450079587244086, 
13, 21, 0.000356770404522751, 
13, 23, 0.00192107140896866, 
13, 27, 0.00334815302705966, 
16, 8, 0.000211569848274195, 
16, 9, 0.011696790183159, 
16, 10, 0.0043220697576014, 
16, 11, 0.000574261016744242, 
16, 12, 0.00577283443148159, 
16, 13, 0.0272018376352536, 
16, 17, 0.100132986761772, 
16, 19, 0.000906727921175119, 
16, 20, 0.000604485280783413, 
16, 21, 0.00120897056156683, 
