From*, To*, Rate, 
1, 10, 0.019047619047619, 
1, 11, 0.0571428571428571, 
1, 13, 0.0666666666666667, 
1, 14, 0.0476190476190476, 
1, 21, 0.019047619047619, 
2, 10, 0.181818181818182, 
2, 11, 0.181818181818182, 
2, 14, 0.636363636363636, 
9, 10, 0.0833333333333333, 
9, 11, 0.333333333333333, 
9, 13, 0.0833333333333333, 
9, 14, 0.5, 
10, 12, 0.3, 
10, 13, 0.05, 
10, 14, 0.1, 
10, 21, 0.3, 
11, 12, 0.0769230769230769, 
11, 13, 0.153846153846154, 
11, 14, 0.346153846153846, 
11, 21, 0.0384615384615385, 
14, 10, 0.00892857142857143, 
14, 13, 0.0267857142857143, 
14, 21, 0.107142857142857, 
20, 9, 0.142857142857143, 
20, 10, 0.428571428571429, 
20, 12, 0.142857142857143, 
20, 21, 0.285714285714286, 
21, 11, 0.1, 
21, 14, 0.3, 
22, 10, 0.5, 
22, 11, 0.25, 
22, 12, 0.25, 
23, 11, 1, 
28, 10, 1, 
