From*, To*, Rate, 
1, 2, 0.0580246913580247, 
1, 3, 0.0172839506172839, 
1, 11, 0.0209876543209877, 
1, 12, 0.0111111111111111, 
1, 13, 0.0123456790123457, 
1, 23, 0.00493827160493827, 
2, 3, 0.112482853223594, 
2, 9, 0.00205761316872428, 
2, 10, 0.00137174211248285, 
2, 11, 0.0761316872427984, 
2, 12, 0.041838134430727, 
2, 13, 0.0919067215363512, 
2, 14, 0.00411522633744856, 
2, 19, 0.00205761316872428, 
2, 20, 0.00411522633744856, 
2, 21, 0.00205761316872428, 
2, 23, 0.000685871056241427, 
2, 27, 0.00205761316872428, 
3, 2, 0.0142711518858308, 
3, 8, 0.00407747196738022, 
3, 9, 0.00203873598369011, 
3, 11, 0.0519877675840979, 
3, 12, 0.0295616717635066, 
3, 13, 0.0163098878695209, 
3, 14, 0.00101936799184506, 
3, 21, 0.00101936799184506, 
9, 10, 0.0748663101604278, 
9, 11, 0.213903743315508, 
9, 12, 0.240641711229947, 
9, 13, 0.229946524064171, 
9, 14, 0.0374331550802139, 
9, 21, 0.053475935828877, 
9, 23, 0.0053475935828877, 
10, 9, 0.0136986301369863, 
10, 11, 0.150684931506849, 
10, 12, 0.0821917808219178, 
10, 13, 0.0684931506849315, 
10, 14, 0.0136986301369863, 
10, 21, 0.0821917808219178, 
11, 9, 0.0151250727166958, 
11, 10, 0.00407213496218732, 
11, 12, 0.285049447353112, 
11, 13, 0.209424083769634, 
11, 14, 0.00465386852821408, 
11, 19, 0.0058173356602676, 
11, 20, 0.00058173356602676, 
11, 21, 0.0180337405468296, 
11, 23, 0.00174520069808028, 
11, 27, 0.00058173356602676, 
12, 9, 0.00326655052264808, 
12, 11, 0.0481271777003484, 
12, 13, 0.130879790940767, 
12, 14, 0.00130662020905923, 
12, 19, 0.00304878048780488, 
12, 20, 0.00304878048780488, 
12, 21, 0.000435540069686411, 
12, 23, 0.000653310104529617, 
12, 27, 0.00304878048780488, 
13, 8, 0.0133614627285513, 
13, 9, 0.00351617440225035, 
13, 10, 0.00545007032348804, 
13, 11, 0.00386779184247539, 
13, 12, 0.126582278481013, 
13, 14, 0.00123066104078762, 
13, 19, 0.000175808720112518, 
13, 20, 0.00316455696202532, 
13, 21, 0.00175808720112518, 
13, 23, 0.00140646976090014, 
13, 27, 0.00105485232067511, 
14, 10, 0.00819672131147541, 
14, 11, 0.286885245901639, 
14, 12, 0.147540983606557, 
14, 13, 0.114754098360656, 
14, 21, 0.0163934426229508, 
16, 13, 1, 
19, 9, 0.0535714285714286, 
19, 10, 0.0178571428571429, 
19, 11, 0.133928571428571, 
19, 12, 0.375, 
19, 13, 0.276785714285714, 
19, 21, 0.00892857142857143, 
19, 27, 0.00892857142857143, 
20, 9, 0.0526315789473684, 
20, 10, 0.236842105263158, 
20, 11, 0.105263157894737, 
20, 12, 0.131578947368421, 
20, 13, 0.184210526315789, 
20, 14, 0.157894736842105, 
20, 21, 0.0263157894736842, 
20, 23, 0.0526315789473684, 
21, 8, 0.00704225352112676, 
21, 9, 0.0492957746478873, 
21, 10, 0.0352112676056338, 
21, 11, 0.169014084507042, 
21, 12, 0.246478873239437, 
21, 13, 0.267605633802817, 
21, 14, 0.0211267605633803, 
22, 9, 0.151515151515152, 
22, 11, 0.121212121212121, 
22, 12, 0.46969696969697, 
22, 13, 0.181818181818182, 
22, 14, 0.0757575757575758, 
23, 8, 0.0155038759689922, 
23, 9, 0.0852713178294574, 
23, 10, 0.0232558139534884, 
23, 11, 0.0387596899224806, 
23, 12, 0.348837209302326, 
23, 13, 0.24031007751938, 
23, 21, 0.0310077519379845, 
27, 2, 0.178571428571429, 
27, 3, 0.0178571428571429, 
27, 11, 0.1875, 
27, 12, 0.3125, 
27, 13, 0.267857142857143, 
27, 23, 0.0178571428571429, 
28, 2, 0.1875, 
28, 3, 0.21875, 
28, 11, 0.15625, 
28, 12, 0.125, 
28, 13, 0.125, 
28, 14, 0.0625, 
28, 19, 0.0625, 
