From*, To*, Rate, 
1, 2, 0.299393939393939, 
1, 3, 0.0472727272727273, 
1, 9, 0.00484848484848485, 
1, 11, 0.0545454545454545, 
1, 12, 0.0945454545454545, 
1, 13, 0.153939393939394, 
1, 19, 0.00242424242424242, 
1, 20, 0.0096969696969697, 
1, 21, 0.056969696969697, 
1, 23, 0.00121212121212121, 
2, 3, 0.143344709897611, 
2, 8, 0.0113765642775882, 
2, 9, 0.0159271899886234, 
2, 11, 0.167235494880546, 
2, 12, 0.18316268486917, 
2, 13, 0.155858930602958, 
2, 19, 0.00341296928327645, 
2, 20, 0.00341296928327645, 
2, 21, 0.0273037542662116, 
2, 23, 0.0136518771331058, 
2, 24, 0.0068259385665529, 
3, 2, 0.0227272727272727, 
3, 8, 0.020979020979021, 
3, 9, 0.00174825174825175, 
3, 11, 0.0576923076923077, 
3, 12, 0.048951048951049, 
3, 13, 0.136363636363636, 
3, 19, 0.0034965034965035, 
3, 21, 0.020979020979021, 
3, 23, 0.00699300699300699, 
3, 24, 0.00174825174825175, 
5, 8, 0.782608695652174, 
5, 12, 0.0869565217391304, 
5, 20, 0.0434782608695652, 
5, 21, 0.0869565217391304, 
9, 8, 0.00638297872340425, 
9, 11, 0.0382978723404255, 
9, 12, 0.248936170212766, 
9, 13, 0.287234042553192, 
9, 19, 0.0127659574468085, 
9, 21, 0.0340425531914894, 
9, 23, 0.0106382978723404, 
9, 24, 0.0191489361702128, 
9, 27, 0.00638297872340425, 
10, 8, 0.0740740740740741, 
10, 12, 0.0740740740740741, 
10, 13, 0.703703703703704, 
10, 24, 0.111111111111111, 
11, 8, 0.0197383011754269, 
11, 9, 0.0155245065424706, 
11, 12, 0.301840762918607, 
11, 13, 0.302506098913285, 
11, 19, 0.00332667997338656, 
11, 20, 0.00199600798403194, 
11, 21, 0.0204036371701042, 
11, 23, 0.00687513861166556, 
11, 24, 0.0053226879574185, 
11, 27, 0.00487913062763362, 
12, 8, 0.0281548179008198, 
12, 9, 0.000335976347265153, 
12, 10, 0.000940733772342427, 
12, 11, 0.0389732562827577, 
12, 13, 0.115105496573041, 
12, 14, 0.000739147963983336, 
12, 16, 0.000134390538906061, 
12, 19, 0.00369573981991668, 
12, 20, 0.00389732562827577, 
12, 21, 0.000201585808359092, 
12, 23, 0.000470366886171214, 
12, 27, 0.00262061550866819, 
13, 8, 0.0204882301656495, 
13, 9, 0.0004359197907585, 
13, 10, 0.000726532984597501, 
13, 11, 0.00036326649229875, 
13, 12, 0.0959750072653298, 
13, 16, 7.26532984597501e-05, 
13, 19, 0.0018889857599535, 
13, 20, 0.00595757047369951, 
13, 21, 0.002324905550712, 
13, 23, 0.0015983725661145, 
13, 27, 0.000508573089218251, 
14, 11, 0.430769230769231, 
14, 12, 0.461538461538462, 
14, 13, 0.0461538461538462, 
16, 12, 0.5, 
16, 13, 0.5, 
17, 12, 0.4, 
17, 13, 0.4, 
17, 21, 0.2, 
19, 8, 0.108910891089109, 
19, 9, 0.0099009900990099, 
19, 10, 0.0033003300330033, 
19, 11, 0.158415841584158, 
19, 12, 0.204620462046205, 
19, 13, 0.214521452145215, 
19, 20, 0.0033003300330033, 
19, 21, 0.0066006600660066, 
19, 23, 0.0099009900990099, 
19, 24, 0.0066006600660066, 
20, 8, 0.0426829268292683, 
20, 9, 0.0426829268292683, 
20, 11, 0.0426829268292683, 
20, 12, 0.359756097560976, 
20, 13, 0.179878048780488, 
20, 19, 0.0213414634146341, 
20, 23, 0.00609756097560976, 
21, 8, 0.139874739039666, 
21, 9, 0.0104384133611691, 
21, 10, 0.00208768267223382, 
21, 11, 0.0167014613778706, 
21, 12, 0.231732776617954, 
21, 13, 0.164926931106472, 
21, 23, 0.0542797494780793, 
22, 8, 0.348017621145374, 
22, 11, 0.013215859030837, 
22, 12, 0.286343612334802, 
22, 13, 0.158590308370044, 
22, 19, 0.00881057268722467, 
22, 20, 0.00881057268722467, 
22, 21, 0.00881057268722467, 
22, 23, 0.0352422907488987, 
22, 27, 0.00440528634361234, 
23, 8, 0.0907894736842105, 
23, 9, 0.0157894736842105, 
23, 11, 0.0592105263157895, 
23, 12, 0.225, 
23, 13, 0.119736842105263, 
23, 19, 0.0157894736842105, 
23, 20, 0.00394736842105263, 
23, 21, 0.0276315789473684, 
23, 27, 0.0105263157894737, 
25, 12, 0.5, 
25, 13, 0.5, 
27, 3, 0.018796992481203, 
27, 8, 0.0150375939849624, 
27, 9, 0.0112781954887218, 
27, 11, 0.0112781954887218, 
27, 12, 0.503759398496241, 
27, 13, 0.180451127819549, 
27, 19, 0.0075187969924812, 
27, 20, 0.0037593984962406, 
27, 21, 0.101503759398496, 
27, 23, 0.018796992481203, 
27, 24, 0.0338345864661654, 
28, 11, 0.0192307692307692, 
28, 12, 0.826923076923077, 
28, 13, 0.0769230769230769, 
28, 23, 0.0576923076923077, 
28, 24, 0.0192307692307692, 
