From*, To*, Rate, 
5, 8, 0.4275, 
5, 10, 0.0025, 
5, 21, 0.04, 
5, 23, 0.0025, 
10, 8, 0.297297297297297, 
10, 13, 0.297297297297297, 
10, 21, 0.0540540540540541, 
11, 8, 0.7, 
11, 10, 0.0142857142857143, 
11, 13, 0.185714285714286, 
11, 16, 0.0142857142857143, 
11, 21, 0.0142857142857143, 
11, 24, 0.0142857142857143, 
11, 27, 0.0142857142857143, 
12, 8, 0.642857142857143, 
12, 10, 0.142857142857143, 
12, 11, 0.0428571428571429, 
12, 13, 0.0571428571428571, 
13, 8, 0.552238805970149, 
13, 10, 0.261194029850746, 
13, 23, 0.0298507462686567, 
16, 8, 0.6, 
16, 10, 0.2, 
16, 13, 0.2, 
17, 8, 0.916666666666667, 
17, 23, 0.0833333333333333, 
19, 8, 1, 
20, 8, 0.5, 
20, 10, 0.5, 
21, 8, 0.88659793814433, 
21, 10, 0.0206185567010309, 
21, 13, 0.0103092783505155, 
21, 23, 0.0206185567010309, 
22, 8, 0.818181818181818, 
22, 13, 0.0303030303030303, 
22, 23, 0.151515151515152, 
23, 8, 0.595744680851064, 
23, 10, 0.25531914893617, 
23, 13, 0.0638297872340425, 
23, 21, 0.0425531914893617, 
