From*, To*, Rate, 
2, 3, 0.25, 
2, 16, 0.75, 
4, 16, 1, 
5, 9, 0.00505050505050505, 
5, 13, 0.0202020202020202, 
5, 16, 0.0404040404040404, 
5, 17, 0.00505050505050505, 
5, 19, 0.00505050505050505, 
5, 21, 0.00505050505050505, 
6, 13, 0.5, 
6, 16, 0.5, 
7, 9, 0.0103092783505155, 
7, 12, 0.0206185567010309, 
7, 13, 0.0206185567010309, 
7, 16, 0.0515463917525773, 
7, 17, 0.0412371134020619, 
7, 21, 0.0206185567010309, 
8, 9, 0.0147058823529412, 
9, 8, 0.00892857142857143, 
9, 12, 0.0357142857142857, 
9, 13, 0.348214285714286, 
9, 16, 0.0446428571428571, 
9, 17, 0.0178571428571429, 
9, 19, 0.0357142857142857, 
9, 20, 0.00892857142857143, 
9, 21, 0.00892857142857143, 
9, 23, 0.0178571428571429, 
9, 24, 0.0178571428571429, 
10, 13, 0.0526315789473684, 
10, 16, 0.315789473684211, 
11, 8, 0.0155440414507772, 
11, 9, 0.0673575129533679, 
11, 12, 0.0259067357512953, 
11, 13, 0.186528497409326, 
11, 16, 0.538860103626943, 
11, 17, 0.10880829015544, 
11, 19, 0.00518134715025907, 
11, 20, 0.0207253886010363, 
11, 21, 0.0103626943005181, 
11, 23, 0.00518134715025907, 
11, 24, 0.0155440414507772, 
12, 10, 0.021505376344086, 
12, 13, 0.172043010752688, 
12, 16, 0.268817204301075, 
12, 17, 0.0645161290322581, 
12, 19, 0.010752688172043, 
12, 20, 0.010752688172043, 
13, 8, 0.0141430948419301, 
13, 10, 0.000831946755407654, 
13, 12, 0.00332778702163062, 
13, 16, 0.312811980033278, 
13, 17, 0.064891846921797, 
13, 19, 0.0183028286189684, 
13, 20, 0.0199667221297837, 
13, 21, 0.00166389351081531, 
13, 23, 0.00249584026622296, 
13, 27, 0.000831946755407654, 
16, 8, 0.00213675213675214, 
16, 9, 0.00106837606837607, 
16, 12, 0.00213675213675214, 
16, 13, 0.0128205128205128, 
16, 17, 0.0106837606837607, 
16, 19, 0.00106837606837607, 
16, 20, 0.00213675213675214, 
16, 21, 0.00213675213675214, 
17, 9, 0.0994623655913978, 
17, 12, 0.00268817204301075, 
17, 13, 0.239247311827957, 
17, 19, 0.00537634408602151, 
17, 20, 0.0268817204301075, 
17, 21, 0.0268817204301075, 
17, 23, 0.00806451612903226, 
17, 24, 0.00806451612903226, 
19, 9, 0.00522193211488251, 
19, 13, 0.00783289817232376, 
19, 16, 0.0130548302872063, 
19, 17, 0.00522193211488251, 
20, 8, 0.0740740740740741, 
20, 9, 0.037037037037037, 
20, 12, 0.037037037037037, 
20, 13, 0.101851851851852, 
20, 16, 0.37962962962963, 
20, 17, 0.0925925925925926, 
20, 19, 0.00925925925925926, 
21, 9, 0.0506329113924051, 
21, 12, 0.00843881856540084, 
21, 13, 0.210970464135021, 
21, 16, 0.206751054852321, 
21, 17, 0.0548523206751055, 
21, 19, 0.0253164556962025, 
21, 23, 0.0210970464135021, 
22, 9, 0.0138888888888889, 
22, 12, 0.0138888888888889, 
22, 13, 0.430555555555556, 
22, 16, 0.25, 
22, 17, 0.111111111111111, 
22, 20, 0.0277777777777778, 
22, 21, 0.0555555555555556, 
22, 23, 0.0972222222222222, 
23, 9, 0.0206185567010309, 
23, 12, 0.0103092783505155, 
23, 13, 0.268041237113402, 
23, 16, 0.278350515463918, 
23, 17, 0.0721649484536082, 
23, 19, 0.0103092783505155, 
23, 21, 0.134020618556701, 
23, 27, 0.103092783505155, 
