From*, To*, Rate, 
5, 13, 1, 
9, 8, 0.294117647058824, 
9, 12, 0.0588235294117647, 
9, 13, 0.235294117647059, 
9, 21, 0.0588235294117647, 
9, 24, 0.294117647058824, 
9, 27, 0.0588235294117647, 
10, 12, 0.238095238095238, 
10, 13, 0.476190476190476, 
11, 8, 0.0196078431372549, 
11, 10, 0.352941176470588, 
11, 12, 0.0980392156862745, 
11, 13, 0.529411764705882, 
12, 8, 0.182795698924731, 
12, 10, 0.0188172043010753, 
12, 13, 0.532258064516129, 
13, 8, 0.0124888492417484, 
13, 9, 0.00267618198037467, 
13, 10, 0.132024977698484, 
13, 12, 0.0115967885816235, 
13, 23, 0.000892060660124889, 
16, 8, 0.25, 
16, 13, 0.75, 
17, 9, 0.0793650793650794, 
17, 13, 0.920634920634921, 
19, 8, 0.2, 
19, 10, 0.0666666666666667, 
19, 13, 0.6, 
19, 23, 0.0666666666666667, 
19, 24, 0.0666666666666667, 
20, 13, 1, 
21, 8, 0.636363636363636, 
21, 10, 0.121212121212121, 
21, 13, 0.202020202020202, 
22, 8, 0.375, 
22, 10, 0.5, 
22, 13, 0.125, 
23, 10, 0.25, 
23, 13, 0.25, 
