From*, To*, Rate, 
1, 3, 0.0099626400996264, 
1, 13, 0.0024906600249066, 
1, 14, 0.0024906600249066, 
1, 21, 0.0983810709838107, 
2, 3, 0.00863131935881628, 
2, 10, 0.0061652281134402, 
2, 11, 0.00369913686806412, 
2, 12, 0.0061652281134402, 
2, 13, 0.0135635018495684, 
2, 21, 0.0221948212083847, 
2, 27, 0.00739827373612824, 
3, 2, 0.0712468193384224, 
3, 11, 0.00763358778625954, 
3, 21, 0.0254452926208651, 
9, 10, 0.0391503540191587, 
9, 11, 0.0316534777176177, 
9, 12, 0.00916284881299459, 
9, 13, 0.0329029571012078, 
9, 14, 0.0299875052061641, 
9, 19, 0.00333194502290712, 
9, 21, 0.0249895876718034, 
9, 24, 0.00374843815077051, 
9, 27, 0.00041649312786339, 
10, 9, 0.0219240219240219, 
10, 11, 0.0986580986580987, 
10, 12, 0.0444150444150444, 
10, 13, 0.0737100737100737, 
10, 14, 0.0190890190890191, 
10, 19, 0.00548100548100548, 
10, 21, 0.00850500850500851, 
10, 22, 0.00132300132300132, 
10, 24, 0.0117180117180117, 
10, 27, 0.000756000756000756, 
11, 9, 0.0113924050632911, 
11, 10, 0.0420886075949367, 
11, 12, 0.0246835443037975, 
11, 13, 0.0481012658227848, 
11, 14, 0.0405063291139241, 
11, 19, 0.00189873417721519, 
11, 21, 0.0167721518987342, 
11, 24, 0.00474683544303797, 
12, 9, 0.00348432055749129, 
12, 10, 0.132404181184669, 
12, 11, 0.0801393728222996, 
12, 13, 0.0905923344947735, 
12, 14, 0.0766550522648084, 
12, 21, 0.00696864111498258, 
13, 9, 0.00854700854700855, 
13, 10, 0.0128205128205128, 
13, 11, 0.00427350427350427, 
13, 12, 0.0641025641025641, 
13, 14, 0.0128205128205128, 
13, 19, 0.00427350427350427, 
14, 9, 0.00220264317180617, 
14, 10, 0.00770925110132159, 
14, 11, 0.0165198237885463, 
14, 15, 0.0770925110132159, 
14, 21, 0.013215859030837, 
14, 24, 0.013215859030837, 
15, 14, 0.0110619469026549, 
19, 9, 0.0072992700729927, 
19, 10, 0.0156412930135558, 
19, 11, 0.00938477580813347, 
19, 12, 0.00208550573514077, 
19, 13, 0.0166840458811262, 
19, 14, 0.0312825860271116, 
19, 21, 0.00208550573514077, 
19, 22, 0.00104275286757039, 
19, 24, 0.0125130344108446, 
20, 9, 0.00274725274725275, 
20, 10, 0.00892857142857143, 
20, 11, 0.00549450549450549, 
20, 12, 0.00549450549450549, 
20, 13, 0.00824175824175824, 
20, 14, 0.00343406593406593, 
21, 9, 0.00388349514563107, 
21, 10, 0.0368932038834951, 
21, 11, 0.0233009708737864, 
21, 12, 0.00388349514563107, 
21, 13, 0.0368932038834951, 
21, 14, 0.0718446601941748, 
22, 9, 0.00662251655629139, 
22, 10, 0.00662251655629139, 
22, 11, 0.0662251655629139, 
22, 12, 0.00662251655629139, 
22, 13, 0.0596026490066225, 
22, 14, 0.0529801324503311, 
22, 21, 0.0264900662251656, 
23, 10, 0.0144927536231884, 
23, 11, 0.0376811594202899, 
23, 12, 0.00579710144927536, 
23, 13, 0.0405797101449275, 
23, 14, 0.0347826086956522, 
23, 21, 0.00579710144927536, 
27, 10, 0.0563380281690141, 
27, 11, 0.028169014084507, 
27, 13, 0.0140845070422535, 
27, 14, 0.197183098591549, 
27, 19, 0.0140845070422535, 
27, 24, 0.225352112676056, 
28, 14, 0.235294117647059, 
