From*, To*, Rate, 
3, 8, 0.4, 
3, 9, 0.4, 
3, 13, 0.2, 
4, 5, 0.265432098765432, 
4, 13, 0.00308641975308642, 
5, 12, 0.00056274620146314, 
5, 16, 0.00168823860438942, 
6, 16, 1, 
7, 9, 0.0145631067961165, 
7, 13, 0.00485436893203883, 
7, 16, 0.00485436893203883, 
9, 8, 0.0102389078498294, 
9, 10, 0.00341296928327645, 
9, 12, 0.0580204778156997, 
9, 13, 0.218430034129693, 
9, 16, 0.0204778156996587, 
9, 23, 0.00341296928327645, 
9, 24, 0.0170648464163823, 
10, 8, 0.0128205128205128, 
10, 9, 0.0256410256410256, 
10, 13, 0.0384615384615385, 
10, 16, 0.512820512820513, 
10, 17, 0.0256410256410256, 
10, 19, 0.0384615384615385, 
11, 8, 0.0225988700564972, 
11, 9, 0.0903954802259887, 
11, 10, 0.0169491525423729, 
11, 12, 0.0847457627118644, 
11, 13, 0.355932203389831, 
11, 16, 0.288135593220339, 
11, 17, 0.0338983050847458, 
11, 19, 0.0225988700564972, 
11, 21, 0.0112994350282486, 
11, 24, 0.0621468926553672, 
11, 27, 0.00564971751412429, 
12, 13, 0.0480769230769231, 
12, 16, 0.0528846153846154, 
12, 19, 0.0144230769230769, 
12, 20, 0.0336538461538462, 
13, 8, 0.00871080139372822, 
13, 9, 0.000871080139372822, 
13, 10, 0.0235191637630662, 
13, 11, 0.000871080139372822, 
13, 12, 0.0270034843205575, 
13, 16, 0.20383275261324, 
13, 17, 0.00522648083623693, 
13, 19, 0.0270034843205575, 
13, 20, 0.0130662020905923, 
13, 21, 0.00174216027874564, 
13, 23, 0.000871080139372822, 
13, 27, 0.00174216027874564, 
16, 9, 0.011472275334608, 
16, 10, 0.00191204588910134, 
16, 13, 0.0363288718929254, 
16, 19, 0.0210325047801147, 
16, 20, 0.00191204588910134, 
16, 21, 0.00573613766730402, 
16, 24, 0.00191204588910134, 
17, 8, 0.032, 
17, 9, 0.072, 
17, 11, 0.008, 
17, 12, 0.064, 
17, 13, 0.552, 
17, 19, 0.016, 
17, 21, 0.008, 
17, 23, 0.008, 
17, 24, 0.016, 
19, 9, 0.0107913669064748, 
19, 12, 0.00719424460431655, 
19, 13, 0.00359712230215827, 
19, 16, 0.0143884892086331, 
20, 9, 0.342657342657343, 
20, 10, 0.027972027972028, 
20, 12, 0.111888111888112, 
20, 13, 0.258741258741259, 
20, 16, 0.0909090909090909, 
20, 17, 0.013986013986014, 
20, 21, 0.00699300699300699, 
20, 23, 0.013986013986014, 
21, 8, 0.019047619047619, 
21, 9, 0.171428571428571, 
21, 10, 0.00952380952380952, 
21, 12, 0.0952380952380952, 
21, 13, 0.285714285714286, 
21, 16, 0.19047619047619, 
21, 17, 0.019047619047619, 
21, 20, 0.019047619047619, 
22, 9, 0.145161290322581, 
22, 12, 0.0806451612903226, 
22, 13, 0.564516129032258, 
22, 16, 0.0967741935483871, 
22, 19, 0.032258064516129, 
22, 20, 0.0483870967741935, 
22, 23, 0.0161290322580645, 
22, 27, 0.0161290322580645, 
23, 8, 0.01, 
23, 9, 0.26, 
23, 11, 0.01, 
23, 12, 0.15, 
23, 13, 0.32, 
23, 16, 0.15, 
23, 19, 0.02, 
23, 20, 0.01, 
23, 21, 0.01, 
