From*, To*, Rate, 
3, 21, 1, 
4, 5, 0.561046511627907, 
4, 8, 0.0174418604651163, 
4, 12, 0.0261627906976744, 
4, 13, 0.00581395348837209, 
4, 21, 0.252906976744186, 
4, 23, 0.00581395348837209, 
5, 8, 0.139889082029633, 
5, 9, 0.00579422233258836, 
5, 10, 0.0134094859697045, 
5, 12, 0.000827746047512623, 
5, 13, 0.0507408327125238, 
5, 16, 0.0437049913086665, 
5, 21, 0.00786358745136992, 
5, 23, 0.00918798112739012, 
5, 24, 0.000331098419005049, 
5, 27, 0.000744971442761361, 
7, 23, 0.010752688172043, 
9, 8, 0.366425992779783, 
9, 10, 0.0415162454873646, 
9, 11, 0.00180505415162455, 
9, 12, 0.0252707581227437, 
9, 13, 0.259927797833935, 
9, 16, 0.0866425992779783, 
9, 23, 0.0974729241877256, 
9, 24, 0.00180505415162455, 
10, 8, 0.350042844901457, 
10, 9, 0.0698371893744644, 
10, 12, 0.00814053127677806, 
10, 13, 0.239502999143102, 
10, 16, 0.0779777206512425, 
10, 21, 0.0497000856898029, 
10, 23, 0.0149957155098543, 
10, 24, 0.00299914310197087, 
10, 27, 0.000856898029134533, 
11, 8, 0.226351351351351, 
11, 9, 0.0743243243243243, 
11, 10, 0.0337837837837838, 
11, 12, 0.0439189189189189, 
11, 13, 0.402027027027027, 
11, 16, 0.157094594594595, 
11, 21, 0.0202702702702703, 
11, 23, 0.0219594594594595, 
11, 24, 0.00168918918918919, 
11, 27, 0.00337837837837838, 
12, 8, 0.326530612244898, 
12, 10, 0.0535024820739106, 
12, 11, 0.00441257584114727, 
12, 13, 0.22173193601765, 
12, 16, 0.0733590733590734, 
12, 27, 0.00330943188086045, 
13, 8, 0.23012470771629, 
13, 10, 0.0798908807482463, 
13, 12, 0.0270849571317225, 
13, 16, 0.106780982073266, 
13, 19, 0.00019485580670304, 
13, 21, 0.00019485580670304, 
13, 23, 0.00565081839438815, 
16, 8, 0.16180981595092, 
16, 9, 0.049079754601227, 
16, 10, 0.0379601226993865, 
16, 12, 0.0118865030674847, 
16, 13, 0.270705521472393, 
16, 21, 0.00920245398773006, 
16, 23, 0.0249233128834356, 
16, 24, 0.000383435582822086, 
17, 8, 0.430577223088924, 
17, 9, 0.0826833073322933, 
17, 10, 0.0109204368174727, 
17, 11, 0.015600624024961, 
17, 12, 0.0140405616224649, 
17, 13, 0.310452418096724, 
17, 21, 0.0093603744149766, 
17, 23, 0.1201248049922, 
17, 27, 0.0062402496099844, 
19, 8, 0.246153846153846, 
19, 9, 0.123076923076923, 
19, 10, 0.1, 
19, 12, 0.0230769230769231, 
19, 13, 0.0384615384615385, 
19, 16, 0.176923076923077, 
19, 21, 0.0230769230769231, 
19, 23, 0.146153846153846, 
20, 8, 0.475903614457831, 
20, 9, 0.0240963855421687, 
20, 10, 0.108433734939759, 
20, 13, 0.301204819277108, 
20, 16, 0.0421686746987952, 
20, 23, 0.0481927710843374, 
21, 8, 0.664423508299686, 
21, 9, 0.0233288470165994, 
21, 10, 0.0228802153432032, 
21, 11, 0.00269179004037685, 
21, 12, 0.00986989681471512, 
21, 13, 0.0870345446388515, 
21, 16, 0.0587707492148946, 
21, 23, 0.0883804396590399, 
21, 27, 0.00134589502018843, 
22, 8, 0.668560606060606, 
22, 9, 0.00568181818181818, 
22, 10, 0.0284090909090909, 
22, 12, 0.0113636363636364, 
22, 13, 0.0625, 
22, 16, 0.0852272727272727, 
22, 21, 0.00378787878787879, 
22, 23, 0.130681818181818, 
22, 27, 0.00378787878787879, 
23, 8, 0.643719806763285, 
23, 9, 0.0154589371980676, 
23, 10, 0.00821256038647343, 
23, 11, 0.00072463768115942, 
23, 12, 0.00821256038647343, 
23, 13, 0.0514492753623188, 
23, 16, 0.0335748792270531, 
23, 21, 0.0070048309178744, 
23, 27, 0.0072463768115942, 
