From*, To*, Rate, 
4, 8, 1, 
5, 13, 0.00237812128418549, 
11, 12, 1, 
12, 8, 0.0869565217391304, 
12, 13, 0.304347826086957, 
13, 8, 0.128919860627178, 
13, 10, 0.024390243902439, 
13, 12, 0.132404181184669, 
13, 16, 0.0209059233449477, 
13, 23, 0.00348432055749129, 
17, 8, 0.0606060606060606, 
17, 11, 0.0606060606060606, 
17, 12, 0.0606060606060606, 
17, 13, 0.818181818181818, 
21, 12, 0.0714285714285714, 
21, 13, 0.928571428571429, 
22, 12, 1, 
23, 12, 0.0666666666666667, 
23, 13, 0.466666666666667, 
