From*, To*, Rate, 
1, 2, 0.0242424242424242, 
1, 3, 0.187878787878788, 
1, 10, 0.00606060606060606, 
1, 14, 0.00909090909090909, 
1, 21, 0.0696969696969697, 
2, 11, 0.166666666666667, 
2, 14, 0.5, 
3, 21, 0.131578947368421, 
9, 10, 0.16, 
9, 13, 0.4, 
10, 11, 0.515151515151515, 
10, 12, 0.0303030303030303, 
10, 13, 0.0909090909090909, 
10, 14, 0.121212121212121, 
11, 9, 0.0135135135135135, 
11, 10, 0.0810810810810811, 
11, 13, 0.121621621621622, 
11, 21, 0.0405405405405405, 
12, 10, 0.5, 
12, 13, 0.5, 
14, 15, 0.0625, 
19, 21, 1, 
20, 21, 0.333333333333333, 
21, 11, 0.0909090909090909, 
