From*, To*, Rate, 
2, 13, 1, 
4, 5, 0.0334581704025995, 
4, 9, 9.63815608305337e-05, 
4, 12, 5.50751776174478e-05, 
4, 13, 0.0016660241229278, 
4, 16, 0.000178994327256705, 
4, 21, 0.0343944484220962, 
4, 24, 2.75375888087239e-05, 
4, 27, 0.00261607093682877, 
5, 9, 0.0022278243536378, 
5, 12, 0.00058626956674679, 
5, 13, 0.0229817670164742, 
5, 16, 0.00146567391686698, 
5, 21, 0.341150260889957, 
5, 23, 0.00058626956674679, 
5, 27, 0.0290789705106408, 
6, 7, 1, 
7, 21, 0.642857142857143, 
9, 12, 0.0588235294117647, 
9, 13, 0.0882352941176471, 
9, 16, 0.0294117647058824, 
9, 21, 0.205882352941176, 
9, 27, 0.0294117647058824, 
11, 9, 0.0321637426900585, 
11, 12, 0.0087719298245614, 
11, 13, 0.380116959064327, 
11, 16, 0.0555555555555556, 
11, 21, 0.497076023391813, 
11, 23, 0.0116959064327485, 
11, 27, 0.0087719298245614, 
12, 13, 0.212837837837838, 
12, 16, 0.0101351351351351, 
12, 27, 0.0371621621621622, 
13, 12, 0.0164046479835954, 
13, 16, 0.0676691729323308, 
13, 21, 0.0177717019822283, 
13, 23, 0.00683526999316473, 
13, 27, 0.0300751879699248, 
16, 9, 0.202247191011236, 
16, 13, 0.337078651685393, 
16, 27, 0.00561797752808989, 
17, 9, 0.166666666666667, 
17, 13, 0.730769230769231, 
17, 27, 0.102564102564103, 
19, 13, 0.196078431372549, 
19, 21, 0.745098039215686, 
19, 23, 0.0490196078431373, 
19, 27, 0.00980392156862745, 
20, 13, 0.5, 
20, 16, 0.285714285714286, 
20, 21, 0.214285714285714, 
21, 13, 0.00578112395805324, 
21, 16, 0.000268889486421081, 
21, 23, 0.00981446625436945, 
21, 27, 0.00107555794568432, 
22, 13, 0.232558139534884, 
22, 21, 0.767441860465116, 
23, 12, 0.0124223602484472, 
23, 13, 0.267080745341615, 
23, 16, 0.0559006211180124, 
23, 21, 0.298136645962733, 
23, 27, 0.031055900621118, 
