From*, To*, Rate, 
1, 2, 0.00424460786733133, 
1, 3, 0.00261586298800652, 
1, 9, 9.87118108681704e-05, 
1, 10, 0.000839050392379448, 
1, 11, 0.00903213069443759, 
1, 12, 0.00187552440649524, 
1, 13, 0.0016781007847589, 
1, 14, 0.002319727555402, 
1, 21, 0.00424460786733133, 
1, 24, 0.000789694486945363, 
2, 3, 0.0358744394618834, 
2, 10, 0.031390134529148, 
2, 11, 0.031390134529148, 
2, 12, 0.00448430493273543, 
2, 13, 0.00448430493273543, 
2, 14, 0.0179372197309417, 
2, 21, 0.134529147982063, 
2, 24, 0.31390134529148, 
2, 27, 0.031390134529148, 
3, 9, 0.00769230769230769, 
3, 10, 0.0538461538461538, 
3, 11, 0.00769230769230769, 
3, 13, 0.0230769230769231, 
3, 14, 0.00769230769230769, 
3, 21, 0.115384615384615, 
3, 27, 0.0230769230769231, 
9, 11, 0.00925925925925926, 
9, 13, 0.0185185185185185, 
9, 21, 0.416666666666667, 
9, 27, 0.00925925925925926, 
10, 11, 0.0649350649350649, 
10, 13, 0.0649350649350649, 
10, 14, 0.038961038961039, 
10, 21, 0.012987012987013, 
10, 23, 0.012987012987013, 
11, 10, 0.0252100840336134, 
11, 12, 0.0252100840336134, 
11, 13, 0.0504201680672269, 
11, 14, 0.0504201680672269, 
11, 19, 0.0168067226890756, 
11, 21, 0.0840336134453782, 
11, 27, 0.0168067226890756, 
13, 11, 0.333333333333333, 
14, 11, 0.0201612903225806, 
14, 13, 0.00403225806451613, 
14, 19, 0.0201612903225806, 
20, 12, 0.1875, 
20, 21, 0.0625, 
20, 27, 0.0625, 
21, 12, 0.0588235294117647, 
21, 14, 0.0294117647058824, 
21, 27, 0.0294117647058824, 
22, 21, 0.333333333333333, 
23, 10, 0.032258064516129, 
23, 11, 0.032258064516129, 
23, 13, 0.0645161290322581, 
23, 27, 0.129032258064516, 
28, 19, 1, 
