From*, To*, Rate, 
1, 2, 0.0148783721760416, 
1, 3, 0.0104033862002142, 
1, 9, 0.00228211535519404, 
1, 10, 0.000127492477943801, 
1, 11, 0.0293742669182518, 
1, 12, 0.0130934774848284, 
1, 13, 0.0155923300525269, 
1, 14, 0.000203987964710082, 
1, 19, 0.00146616349635372, 
1, 20, 0.000229486460298842, 
1, 21, 0.00145341424855934, 
1, 23, 0.00145341424855934, 
1, 24, 0.00103268907134479, 
2, 3, 0.0418537812107059, 
2, 9, 0.00341296928327645, 
2, 10, 0.000179629962277708, 
2, 11, 0.133824321896892, 
2, 12, 0.063948266570864, 
2, 13, 0.0887372013651877, 
2, 14, 0.00377222920783187, 
2, 19, 0.00862223818932998, 
2, 20, 0.00413148913238728, 
2, 21, 0.0256870846057122, 
2, 22, 0.000538889886833124, 
2, 23, 0.0136518771331058, 
2, 24, 0.00970001796299623, 
2, 27, 0.00287407939644333, 
3, 2, 0.0817958179581796, 
3, 9, 0.00615006150061501, 
3, 10, 0.000615006150061501, 
3, 11, 0.0817958179581796, 
3, 12, 0.018450184501845, 
3, 13, 0.041820418204182, 
3, 14, 0.00615006150061501, 
3, 19, 0.0043050430504305, 
3, 20, 0.001230012300123, 
3, 21, 0.00799507995079951, 
3, 23, 0.002460024600246, 
3, 24, 0.0030750307503075, 
3, 27, 0.001230012300123, 
4, 9, 0.5, 
5, 8, 0.1, 
5, 13, 0.4, 
5, 24, 0.3, 
9, 8, 0.00727272727272727, 
9, 11, 0.0945454545454545, 
9, 12, 0.24, 
9, 13, 0.164848484848485, 
9, 14, 0.0133333333333333, 
9, 19, 0.016969696969697, 
9, 20, 0.00848484848484849, 
9, 21, 0.0351515151515151, 
9, 23, 0.056969696969697, 
9, 24, 0.0266666666666667, 
9, 27, 0.0121212121212121, 
10, 8, 0.0113636363636364, 
10, 9, 0.0340909090909091, 
10, 11, 0.0795454545454545, 
10, 12, 0.0340909090909091, 
10, 13, 0.272727272727273, 
10, 14, 0.181818181818182, 
10, 16, 0.0113636363636364, 
10, 19, 0.0227272727272727, 
10, 21, 0.0227272727272727, 
10, 24, 0.0795454545454545, 
11, 9, 0.0245398773006135, 
11, 10, 0.000786534528865817, 
11, 12, 0.21330816422841, 
11, 13, 0.188768286927796, 
