From*, To*, Rate, 
2, 8, 0.714285714285714, 
2, 12, 0.285714285714286, 
4, 13, 1, 
5, 8, 0.0782085561497326, 
5, 12, 0.0053475935828877, 
5, 13, 0.0327540106951872, 
5, 23, 0.00735294117647059, 
9, 8, 0.0736842105263158, 
9, 12, 0.0736842105263158, 
9, 13, 0.705263157894737, 
9, 16, 0.0736842105263158, 
10, 8, 0.241935483870968, 
10, 9, 0.00537634408602151, 
10, 12, 0.010752688172043, 
10, 13, 0.435483870967742, 
10, 20, 0.0161290322580645, 
10, 23, 0.0268817204301075, 
11, 8, 0.136363636363636, 
11, 10, 0.170454545454545, 
11, 12, 0.107954545454545, 
11, 13, 0.505681818181818, 
11, 21, 0.0170454545454545, 
11, 23, 0.0568181818181818, 
11, 27, 0.00568181818181818, 
12, 8, 0.2, 
12, 10, 0.0985365853658537, 
12, 13, 0.215609756097561, 
12, 16, 0.00292682926829268, 
12, 20, 0.00878048780487805, 
12, 27, 0.000975609756097561, 
13, 8, 0.167861184458695, 
13, 10, 0.0761976612599019, 
13, 12, 0.028291210863825, 
13, 16, 0.001508864579404, 
13, 27, 0.000754432289701999, 
16, 8, 0.201520912547529, 
16, 9, 0.00760456273764259, 
16, 12, 0.0228136882129278, 
16, 13, 0.741444866920152, 
17, 8, 0.0220994475138122, 
17, 9, 0.0331491712707182, 
17, 12, 0.0220994475138122, 
17, 13, 0.922651933701657, 
19, 8, 0.555555555555556, 
19, 10, 0.152777777777778, 
19, 21, 0.0416666666666667, 
19, 23, 0.25, 
20, 8, 0.604026845637584, 
20, 10, 0.0100671140939597, 
20, 12, 0.00671140939597315, 
20, 13, 0.348993288590604, 
20, 23, 0.0268456375838926, 
20, 27, 0.00335570469798658, 
21, 8, 0.632432432432432, 
21, 10, 0.0234234234234234, 
21, 12, 0.0126126126126126, 
21, 13, 0.14954954954955, 
21, 16, 0.0468468468468468, 
21, 23, 0.0702702702702703, 
21, 27, 0.00720720720720721, 
22, 8, 0.523809523809524, 
22, 13, 0.321428571428571, 
22, 21, 0.0357142857142857, 
22, 23, 0.107142857142857, 
22, 27, 0.0119047619047619, 
23, 8, 0.542446043165468, 
23, 10, 0.0661870503597122, 
23, 12, 0.0201438848920863, 
23, 13, 0.129496402877698, 
23, 20, 0.00575539568345324, 
23, 21, 0.00575539568345324, 
23, 27, 0.00431654676258993, 
27, 8, 0.350515463917526, 
27, 12, 0.0309278350515464, 
27, 13, 0.474226804123711, 
27, 20, 0.123711340206186, 
