From*, To*, Rate, 
4, 5, 0.236475520692453, 
4, 12, 0.00148769272383013, 
4, 13, 0.000270489586150933, 
4, 21, 0.0004057343792264, 
4, 23, 0.0002028671896132, 
4, 27, 0.0032458750338112, 
5, 8, 0.00263306375775813, 
5, 9, 0.00210018180678327, 
5, 10, 0.00742900131653188, 
5, 11, 0.000250767976929346, 
5, 12, 0.00244498777506112, 
5, 13, 0.0222243119553633, 
5, 16, 0.0120055168954924, 
5, 17, 3.13459971161683e-05, 
5, 21, 0.00460786157607674, 
5, 23, 0.00125383988464673, 
5, 24, 9.40379913485048e-05, 
5, 27, 0.000125383988464673, 
9, 10, 0.102040816326531, 
9, 11, 0.0442176870748299, 
9, 13, 0.302721088435374, 
9, 16, 0.30952380952381, 
9, 23, 0.122448979591837, 
10, 8, 0.00284437220642015, 
10, 9, 0.0979276716781796, 
10, 11, 0.0134091832588379, 
10, 13, 0.188134904510362, 
10, 16, 0.265745631856969, 
10, 21, 0.00446972775294596, 
10, 23, 0.0203169443315725, 
10, 27, 0.000812677773262901, 
11, 8, 0.0325581395348837, 
11, 9, 0.118604651162791, 
11, 10, 0.137209302325581, 
11, 12, 0.0488372093023256, 
11, 13, 0.33953488372093, 
11, 16, 0.272093023255814, 
11, 23, 0.0116279069767442, 
12, 8, 0.00266666666666667, 
12, 10, 0.0613333333333333, 
12, 11, 0.0853333333333333, 
12, 13, 0.434666666666667, 
12, 16, 0.088, 
13, 8, 0.0194235588972431, 
13, 10, 0.167293233082707, 
13, 12, 0.0131578947368421, 
13, 16, 0.149749373433584, 
13, 17, 0.0100250626566416, 
13, 19, 0.0012531328320802, 
13, 21, 0.0018796992481203, 
13, 23, 0.0043859649122807, 
16, 8, 0.028169014084507, 
16, 9, 0.0219092331768388, 
16, 10, 0.0704225352112676, 
16, 11, 0.00156494522691706, 
16, 13, 0.173708920187793, 
16, 21, 0.00469483568075117, 
16, 23, 0.00625978090766823, 
17, 8, 0.0184873949579832, 
17, 9, 0.134453781512605, 
17, 11, 0.0117647058823529, 
17, 12, 0.00672268907563025, 
17, 13, 0.594957983193277, 
17, 23, 0.0369747899159664, 
17, 24, 0.00840336134453781, 
19, 13, 0.0350877192982456, 
20, 8, 0.0288808664259928, 
20, 9, 0.0180505415162455, 
20, 10, 0.379061371841155, 
20, 11, 0.0036101083032491, 
20, 13, 0.216606498194946, 
20, 16, 0.137184115523466, 
20, 23, 0.216606498194946, 
21, 9, 0.060702875399361, 
21, 10, 0.137380191693291, 
21, 11, 0.012779552715655, 
21, 12, 0.0255591054313099, 
21, 13, 0.469648562300319, 
21, 16, 0.261980830670927, 
22, 8, 0.0212765957446809, 
22, 9, 0.170212765957447, 
22, 12, 0.0425531914893617, 
22, 13, 0.617021276595745, 
22, 16, 0.0212765957446809, 
22, 23, 0.127659574468085, 
23, 8, 0.0560747663551402, 
23, 9, 0.0373831775700935, 
23, 10, 0.149532710280374, 
23, 12, 0.00934579439252336, 
23, 13, 0.327102803738318, 
23, 16, 0.205607476635514, 
23, 21, 0.0654205607476635, 
23, 27, 0.0467289719626168, 
