From*, To*, Rate, 
5, 13, 0.142857142857143, 
5, 16, 0.0714285714285714, 
7, 9, 0.25, 
7, 16, 0.25, 
9, 12, 0.0208333333333333, 
9, 13, 0.166666666666667, 
9, 21, 0.0833333333333333, 
9, 24, 0.0208333333333333, 
10, 16, 0.6, 
10, 21, 0.2, 
11, 9, 0.333333333333333, 
11, 13, 0.333333333333333, 
11, 21, 0.333333333333333, 
12, 13, 0.125, 
12, 16, 0.0416666666666667, 
12, 19, 0.0416666666666667, 
13, 12, 0.0714285714285714, 
13, 16, 0.126984126984127, 
13, 17, 0.0238095238095238, 
13, 21, 0.00793650793650794, 
13, 23, 0.00793650793650794, 
16, 9, 0.1, 
16, 13, 0.125, 
17, 9, 0.333333333333333, 
17, 13, 0.166666666666667, 
17, 19, 0.166666666666667, 
17, 21, 0.166666666666667, 
20, 9, 0.727272727272727, 
20, 21, 0.181818181818182, 
21, 9, 0.142857142857143, 
21, 13, 0.428571428571429, 
22, 9, 0.368421052631579, 
22, 12, 0.105263157894737, 
22, 13, 0.210526315789474, 
22, 16, 0.105263157894737, 
22, 21, 0.210526315789474, 
23, 9, 0.523809523809524, 
23, 12, 0.0476190476190476, 
23, 13, 0.333333333333333, 
23, 16, 0.0952380952380952, 
