From*, To*, Rate, 
1, 2, 0.00392156862745098, 
1, 3, 0.0235294117647059, 
1, 13, 0.0117647058823529, 
2, 3, 0.141304347826087, 
2, 11, 0.0869565217391304, 
2, 13, 0.130434782608696, 
3, 9, 0.00552486187845304, 
3, 11, 0.0110497237569061, 
5, 13, 1, 
9, 11, 0.173913043478261, 
9, 12, 0.130434782608696, 
9, 13, 0.260869565217391, 
9, 24, 0.260869565217391, 
9, 27, 0.0434782608695652, 
11, 9, 0.00273972602739726, 
11, 12, 0.0657534246575342, 
11, 13, 0.435616438356164, 
11, 19, 0.0273972602739726, 
11, 27, 0.00273972602739726, 
12, 9, 0.0022075055187638, 
12, 11, 0.0463576158940397, 
12, 13, 0.130242825607064, 
12, 19, 0.0198675496688742, 
12, 20, 0.011037527593819, 
12, 23, 0.0022075055187638, 
12, 27, 0.0198675496688742, 
13, 8, 0.00334448160535117, 
13, 11, 0.00334448160535117, 
13, 12, 0.0785953177257525, 
13, 14, 0.00167224080267559, 
13, 19, 0.0117056856187291, 
13, 23, 0.00167224080267559, 
13, 27, 0.00836120401337793, 
20, 12, 0.125, 
20, 13, 0.375, 
20, 19, 0.125, 
21, 11, 0.0909090909090909, 
21, 13, 0.636363636363636, 
21, 19, 0.272727272727273, 
22, 13, 0.333333333333333, 
23, 11, 0.0163934426229508, 
23, 12, 0.0655737704918033, 
23, 13, 0.131147540983607, 
23, 19, 0.0163934426229508, 
27, 13, 0.0175438596491228, 
28, 2, 0.5, 
28, 19, 0.25, 
