From*, To*, Rate, 
1, 2, 0.122126436781609, 
1, 3, 0.110632183908046, 
1, 11, 0.0775862068965517, 
1, 13, 0.0186781609195402, 
1, 19, 0.00718390804597701, 
2, 3, 0.216494845360825, 
2, 11, 0.371134020618557, 
2, 12, 0.00257731958762887, 
2, 13, 0.0128865979381443, 
2, 23, 0.0077319587628866, 
3, 11, 0.0652173913043478, 
3, 13, 0.130434782608696, 
9, 21, 1, 
11, 12, 0.222222222222222, 
11, 13, 0.486111111111111, 
11, 27, 0.0138888888888889, 
12, 11, 0.0178571428571429, 
12, 13, 0.0178571428571429, 
12, 19, 0.0178571428571429, 
12, 27, 0.0892857142857143, 
13, 21, 0.04, 
23, 11, 0.222222222222222, 
23, 12, 0.111111111111111, 
23, 13, 0.222222222222222, 
23, 19, 0.111111111111111, 
23, 21, 0.111111111111111, 
27, 11, 0.0246913580246914, 
27, 12, 0.320987654320988, 
27, 13, 0.308641975308642, 
27, 21, 0.111111111111111, 
27, 23, 0.0617283950617284, 
