From*, To*, Rate, 
1, 2, 0.0885696151404997, 
1, 3, 0.0256573000211567, 
1, 9, 0.000173100225030293, 
1, 10, 0.000807801050141365, 
1, 11, 0.0137710845690766, 
1, 12, 0.00577000750100975, 
1, 13, 0.0140788183024638, 
1, 14, 0.000269267016713788, 
1, 19, 0.000827034408478064, 
1, 20, 0.000115400150020195, 
1, 21, 0.000942434558498259, 
1, 23, 0.000250033658377089, 
1, 24, 3.84667166733983e-05, 
2, 3, 0.130153328836493, 
2, 8, 0.00033222925832335, 
2, 9, 0.0149704517311158, 
2, 10, 0.00224506438200324, 
2, 11, 0.0556635020990849, 
2, 12, 0.103001137633521, 
2, 13, 0.0786477262430911, 
2, 14, 0.000654390963364174, 
2, 16, 6.04053196951545e-05, 
2, 19, 0.00212425374261293, 
2, 20, 0.00280884736582468, 
2, 21, 0.0217761177501032, 
2, 22, 0.000201351065650515, 
2, 23, 0.0101279586022209, 
2, 24, 0.000513445217408813, 
2, 27, 0.000936282455274895, 
3, 2, 0.120114364710318, 
3, 8, 0.00097398517029031, 
3, 9, 0.00436722382807591, 
3, 10, 0.00160236269950987, 
3, 11, 0.0238783461103431, 
3, 12, 0.0688387583260023, 
3, 13, 0.0500188513258766, 
3, 14, 0.0025449289933392, 
3, 19, 0.00223074022872942, 
3, 20, 0.0022621591051904, 
3, 21, 0.0112165388965691, 
3, 22, 0.000188513258765867, 
3, 23, 0.00493276360437351, 
3, 24, 0.000219932135226844, 
3, 27, 0.0011310795525952, 
4, 12, 0.5, 
4, 13, 0.5, 
5, 8, 0.117647058823529, 
5, 9, 0.0392156862745098, 
5, 10, 0.0392156862745098, 
5, 11, 0.0196078431372549, 
5, 12, 0.215686274509804, 
5, 13, 0.529411764705882, 
5, 16, 0.0196078431372549, 
5, 23, 0.0196078431372549, 
9, 10, 0.0624327233584499, 
9, 11, 0.100645855758881, 
9, 12, 0.268030139935414, 
9, 13, 0.205328310010764, 
9, 14, 0.0331001076426265, 
9, 19, 0.000269106566200215, 
9, 20, 0.00753498385360603, 
9, 21, 0.0788482238966631, 
9, 22, 0.00134553283100108, 
9, 23, 0.00618945102260495, 
9, 24, 0.00457481162540366, 
9, 27, 0.00134553283100108, 
10, 8, 0.0102442868400315, 
10, 9, 0.0307328605200946, 
10, 11, 0.19779353821907, 
10, 12, 0.174152876280536, 
10, 13, 0.13317572892041, 
10, 14, 0.0362490149724192, 
10, 21, 0.0898345153664303, 
10, 22, 0.000788022064617809, 
10, 23, 0.00236406619385343, 
10, 24, 0.00236406619385343, 
10, 27, 0.00236406619385343, 
11, 8, 0.000446867459111628, 
11, 9, 0.0287335776208776, 
11, 10, 0.00750737331307534, 
11, 12, 0.339306461703459, 
11, 13, 0.237465367771919, 
11, 14, 0.0064795781571186, 
11, 19, 0.00277057824649209, 
11, 20, 0.00571990347662883, 
11, 21, 0.0378496737867548, 
11, 22, 0.00049155420502279, 
11, 23, 0.0117079274287246, 
11, 24, 0.00223433729555814, 
11, 27, 0.000759674680489767, 
12, 8, 0.000488818281803739, 
12, 9, 0.00146645484541122, 
12, 10, 0.000855431993156544, 
12, 11, 0.0358364902847366, 
12, 13, 0.16489979225223, 
12, 14, 0.000442991567884639, 
12, 16, 6.11022852254674e-05, 
12, 19, 0.00175669070023219, 
12, 20, 0.00739337651228156, 
12, 21, 0.000458267139191006, 
